level,baseline,treatment,delta
low,0.8973076923076923,0.8812820512820513,-0.01602564102564097
medium,0.9216931216931217,0.9346646185355864,0.01297149684246468
high,0.48146453089244856,0.8682456140350877,0.38678108314263915
