fpr,tpr
0.0,0.0
0.017857142857142856,0.0
0.017857142857142856,0.045454545454545456
0.03571428571428571,0.09090909090909091
0.05357142857142857,0.09090909090909091
0.05357142857142857,0.13636363636363635
0.05357142857142857,0.18181818181818182
0.05357142857142857,0.22727272727272727
0.05357142857142857,0.2727272727272727
0.07142857142857142,0.2727272727272727
0.10714285714285714,0.36363636363636365
0.10714285714285714,0.45454545454545453
0.125,0.45454545454545453
0.14285714285714285,0.45454545454545453
0.14285714285714285,0.5
0.16071428571428573,0.5
0.16071428571428573,0.5454545454545454
0.2857142857142857,0.6818181818181818
0.30357142857142855,0.6818181818181818
0.30357142857142855,0.7272727272727273
0.30357142857142855,0.7727272727272727
0.30357142857142855,0.8181818181818182
0.32142857142857145,0.8181818181818182
0.8214285714285714,0.8181818181818182
0.8392857142857143,0.8181818181818182
0.8571428571428571,0.8181818181818182
0.875,0.8181818181818182
0.9107142857142857,0.8181818181818182
0.9821428571428571,0.9090909090909091
1.0,1.0
1.0,1.0
