fpr,tpr
0.0,0.0
0.0,0.045454545454545456
0.017857142857142856,0.045454545454545456
0.03571428571428571,0.045454545454545456
0.03571428571428571,0.09090909090909091
0.03571428571428571,0.13636363636363635
0.07142857142857142,0.18181818181818182
0.07142857142857142,0.22727272727272727
0.08928571428571429,0.22727272727272727
0.10714285714285714,0.22727272727272727
0.10714285714285714,0.2727272727272727
0.14285714285714285,0.4090909090909091
0.35714285714285715,0.5909090909090909
0.375,0.5909090909090909
0.39285714285714285,0.5909090909090909
1.0,1.0
1.0,1.0
